Date,Sun_Alt,Deviation_From_Ideal,Regulus_Alt,Is_Visible,Visibility_Delta_Sec,Moon_Alt,Moon_Illum_%,Venus_Az,Venus_Alt,Mars_Az,Mars_Alt,Jupiter_Az,Jupiter_Alt,Neptune_Az,Neptune_Alt,Saturn_Az,Saturn_Alt,Mercury_Az,Mercury_Alt,Uranus_Az,Uranus_Alt,Pluto_Az,Pluto_Alt,Sirius_Az,Sirius_Alt,Vega_Az,Vega_Alt,Mars_Delta_Sec
2024-01-01,-72.3613,65.8613,24.3018,True,0.0000,7.8114,70.9853,65.8287,-67.4592,328.2561,-83.0229,260.2037,40.5309,266.2084,0.8138,268.3380,-21.2718,11.2795,-80.0525,257.6514,54.2231,272.2128,-55.0749,157.4430,40.2416,347.0722,-19.6805,57181.4542
2024-01-02,-71.4180,64.9180,24.3014,True,0.0000,-4.0932,62.1765,64.6314,-68.5876,323.1545,-82.6431,260.2084,40.5398,266.2069,0.8275,268.3282,-21.1822,11.1931,-80.1410,257.6591,54.2031,272.2036,-55.0439,157.4425,40.2414,347.0719,-19.6806,55957.0880
2024-01-03,-70.4676,63.9676,24.3010,True,0.0000,-15.9283,52.8684,63.3076,-69.7077,318.5782,-82.2111,260.2122,40.5520,266.2055,0.8416,268.3182,-21.0915,10.2997,-80.2785,257.6664,54.1839,272.1944,-55.0127,157.4421,40.2412,347.0715,-19.6806,54858.7639
2024-01-04,-69.5109,63.0109,24.3005,True,0.0000,-27.8875,43.3139,61.8362,-70.8176,314.4983,-81.7348,260.2153,40.5676,266.2039,0.8562,268.3080,-20.9997,8.6190,-80.4532,257.6735,54.1654,272.1852,-54.9814,157.4416,40.2410,347.0712,-19.6806,53879.5915
2024-01-05,-68.5489,62.0489,24.3001,True,0.0000,-40.0536,33.7985,60.1915,-71.9153,310.8721,-81.2212,260.2176,40.5866,266.2023,0.8713,268.2977,-20.9069,6.1593,-80.6493,257.6803,54.1477,272.1759,-54.9500,157.4412,40.2408,347.0708,-19.6806,53009.3102
2024-01-06,-67.5857,61.0857,24.3033,True,0.0000,-52.4975,24.6602,58.3508,-72.9952,307.6670,-80.6793,260.2218,40.6055,266.2027,0.8837,268.2893,-20.8167,2.9517,-80.8470,257.6900,54.1272,272.1688,-54.9221,157.4457,40.2420,347.0738,-19.6814,52240.0805
2024-01-07,-66.6149,60.1149,24.3028,True,0.0000,-65.2802,16.3047,56.2603,-74.0601,304.8021,-80.1083,260.2226,40.6312,266.2010,0.8997,268.2787,-20.7218,358.9653,-81.0252,257.6963,54.1110,272.1594,-54.8905,157.4453,40.2418,347.0735,-19.6814,51552.5053
2024-01-08,-65.6405,59.1405,24.3024,True,0.0000,-78.3836,9.2037,53.8809,-75.1029,302.2497,-79.5152,260.2226,40.6603,266.1992,0.9162,268.2679,-20.6259,354.2682,-81.1595,257.7023,54.0956,272.1500,-54.8588,157.4448,40.2416,347.0731,-19.6813,50939.9336
2024-01-09,-64.6630,58.1630,24.3020,True,0.0000,-86.9513,3.8692,51.1557,-76.1183,299.9692,-78.9034,260.2218,40.6927,266.1973,0.9332,268.2570,-20.5290,348.9475,-81.2262,257.7080,54.0810,272.1405,-54.8269,157.4444,40.2414,347.0728,-19.6813,50392.6122
2024-01-10,-63.6827,57.1827,24.3015,True,0.0000,-73.6775,0.7922,48.0158,-77.0995,297.9248,-78.2756,260.2203,40.7285,266.1954,0.9507,268.2460,-20.4312,343.1428,-81.2029,257.7134,54.0672,272.1310,-54.7950,157.4440,40.2412,347.0724,-19.6814,49901.9589
2024-01-11,-62.6999,56.1999,24.3011,True,0.0000,-59.4316,0.3548,44.3789,-78.0379,296.0855,-77.6343,260.2180,40.7676,266.1934,0.9686,268.2348,-20.3324,337.0426,-81.0714,257.7186,54.0542,272.1214,-54.7631,157.4436,40.2410,347.0721,-19.6814,49460.5301
2024-01-12,-61.7150,55.2150,24.3006,True,0.0000,-44.9226,2.7369,40.1499,-78.9223,294.4247,-76.9813,260.2150,40.8100,266.1914,0.9869,268.2235,-20.2327,330.8638,-80.8194,257.7235,54.0420,272.1118,-54.7310,157.4431,40.2409,347.0717,-19.6814,49061.9239
2024-01-13,-60.7283,54.2283,24.3002,True,0.0000,-30.2948,7.8552,35.2258,-79.7384,292.9194,-76.3181,260.2111,40.8557,266.1892,1.0058,268.2121,-20.1321,324.8186,-80.4417,257.7281,54.0306,272.1021,-54.6989,157.4427,40.2407,347.0713,-19.6814,48700.6579
2024-01-14,-59.7398,53.2398,24.2998,True,0.0000,-15.6719,15.3640,29.5071,-80.4685,291.5502,-75.6462,260.2065,40.9046,266.1871,1.0250,268.2005,-20.0306,319.0830,-79.9395,257.7324,54.0200,272.0923,-54.6668,157.4423,40.2405,347.0710,-19.6814,48372.0454
2024-01-15,-58.7499,52.2499,24.2994,True,0.0000,-1.1586,24.7165,22.9223,-81.0911,290.3003,-74.9665,260.2011,40.9568,266.1848,1.0448,268.1887,-19.9282,313.7776,-79.3197,257.7363,54.0103,272.0826,-54.6346,157.4418,40.2403,347.0706,-19.6814,48072.0776
