site_name,date,trigger_utc,sun_alt,reg_alt,mars_alt,mars_delta_sec,venus_az,venus_alt,jupiter_az,jupiter_alt,moon_az,moon_alt,pluto_az,pluto_alt
Great Sphinx of Giza,2026-09-22,2026-09-22 06:26:30,-4.553487434925429,24.296114629880723,47.82214651290174,-2740.0,89.76023398709403,-41.99778356656777,91.72833909377951,36.43898589193601,271.9518486213268,-49.896127445367604,268.9712071157887,-51.48928763994369
Great Sphinx of Giza,2026-09-23,2026-09-23 06:22:30,-5.536927089171564,24.28125108975426,47.54791091548017,-2650.0,89.88319342307584,-42.38355987171306,91.68444186390654,36.23711575432375,271.1577601722974,-37.7324300649096,268.96514581829194,-51.484892291101005
Great Sphinx of Giza,2026-09-24,2026-09-24 06:18:40,-6.48480248049285,24.302520663473974,47.27522453322846,-2570.0,90.02800389334253,-42.703236498515125,91.66252291476808,36.072555174544945,270.59348414211985,-25.291532459898402,268.97911054855547,-51.516278243376476
Great Sphinx of Giza,2026-09-25,2026-09-25 06:14:40,-7.469170080583073,24.287657475684473,46.9680022648192,-2490.0,90.15224754094025,-43.028100447540936,91.61929932193621,35.873074181557875,270.1014799699363,-12.467850626117698,268.97298609738937,-51.5110667121154
Great Sphinx of Giza,2026-09-26,2026-09-26 06:10:50,-8.418004181332025,24.308926945657376,46.69847811776446,-2410.0,90.29695506350963,-43.28484564733105,91.59801877051218,35.71094768078626,269.660694375823,1.0725161370275773,268.98689848419014,-51.541628921724545
Great Sphinx of Giza,2026-11-02,2026-11-02 02:45:20,-44.640509257690475,24.299877013699923,34.973314512955675,-120.0,88.87101607632106,-31.453163719707998,90.57123723603048,30.03172372597841,91.85053467254778,41.80411158741171,269.02604767137046,-51.55939438328189
Great Sphinx of Giza,2026-11-03,2026-11-03 02:41:20,-45.63966508955952,24.284966388371924,34.64868525022553,-70.0,88.62176247510288,-31.001351330143255,90.54148885352552,29.9008266347444,91.04360246876846,27.942028812191,269.01769528532145,-51.53634355436
Great Sphinx of Giza,2026-11-04,2026-11-04 02:37:30,-46.60332290544201,24.306189982193114,34.327370694865564,-30.0,88.38966086011534,-30.545567167453218,90.53316959141857,29.80842070965748,90.4551778815528,14.422240442668675,269.0293628567552,-51.54901550371337
Great Sphinx of Giza,2026-11-05,2026-11-05 02:33:30,-47.60260408957395,24.291281091293328,34.009447759182564,20.0,88.13252503421403,-30.16030113290033,90.5041510580555,29.682265843654275,89.9262535333514,1.4051216752339026,269.0208581495042,-51.525038484996216
Great Sphinx of Giza,2026-11-06,2026-11-06 02:29:30,-48.60185368371513,24.27637171593327,33.69499343284892,70.0,87.87230676890438,-29.811036709290693,90.47551064974164,29.558531301069657,89.41139994023389,-11.988461854764019,269.0122850257165,-51.50059884489399
Chichen Itza (El Castillo),2026-09-22,2026-09-21 23:00:00,-56.429488938233696,-57.47950310109966,-47.59841762181257,-8100.0,260.1865677881789,-34.563766346136866,18.55329300922922,-51.50941858301347,210.94806253912532,41.46358458050284,210.99432860857382,39.04460231724988
Chichen Itza (El Castillo),2026-09-23,2026-09-22 22:56:00,-55.97525294751635,-57.47953184239917,-47.69728171301965,-7950.0,259.825791295253,-34.30308283193274,18.278934892090483,-51.62330894669859,198.3794107115482,50.38611078249106,210.9869787166732,39.045625263456124
Chichen Itza (El Castillo),2026-09-24,2026-09-23 22:52:10,-55.533935362265424,-57.479537580563616,-47.7980172589208,-7800.0,259.4982312292196,-34.10395305055319,18.066558809728466,-51.72371711498893,180.3116674036089,57.497916285810405,211.0211843443993,39.02683104887911
Chichen Itza (El Castillo),2026-09-25,2026-09-24 22:48:10,-55.04091520407511,-57.47956475916785,-47.900583846597044,-7650.0,259.184510520749,-33.89036622411686,17.79279919354973,-51.83499376651031,155.44920445772226,61.02553246469559,211.0131356395282,39.02846488922643
Chichen Itza (El Castillo),2026-09-26,2026-09-25 22:44:20,-54.56336500173291,-57.47956370762614,-48.00494643123781,-7500.0,258.9048994226792,-33.73991153623985,17.581610496266578,-51.933092456325106,128.56118621222436,59.3048003045942,211.04661620932237,39.01027469461986
Chichen Itza (El Castillo),2026-11-02,2026-11-01 20:18:50,-28.401537091604478,-57.48113777305977,-52.693425793367965,-2480.0,269.345120951261,-42.378012882279045,9.287780621331049,-54.8747699957078,24.795762597037907,-48.04175528559852,211.08498355784633,39.01216088114982
Chichen Itza (El Castillo),2026-11-03,2026-11-02 20:14:50,-27.55988621415861,-57.48118869432145,-52.830180396241666,-2360.0,269.9697373903658,-42.569369926889976,9.076501881623432,-54.930130779998976,7.455427653570181,-56.62635668804281,211.06106544367125,39.02675580976163
Chichen Itza (El Castillo),2026-11-04,2026-11-03 20:11:00,-26.753615842542956,-57.481210380409834,-52.96675991248862,-2250.0,270.58863043607533,-42.76852541421942,8.938103627725068,-54.977918758730446,343.25558527180533,-61.62189274306633,211.0785920494782,39.02152093435653
Chichen Itza (El Castillo),2026-11-05,2026-11-04 20:07:00,-25.905461163285437,-57.481261532331125,-53.10310591108056,-2120.0,271.16809134657063,-42.896640857763266,8.733117957349409,-55.030363197363954,315.5988229135563,-61.383755370629224,211.0538219035046,39.036772569951765
Chichen Itza (El Castillo),2026-11-06,2026-11-05 20:03:00,-25.054300247633666,-57.48130639176842,-53.239170041772255,-2000.0,271.7195642203286,-42.99247347304108,8.531337398204515,-55.08128474429811,292.5735306165424,-56.245586430363865,211.02861726983937,39.052346442695175
Teotihuacan (Avenue of the Dead),2026-09-22,2026-09-21 22:41:00,-56.984336441337994,-58.469965442948855,-48.59166144645825,-8100.0,259.5075215012902,-34.3844406613421,18.957713883812463,-52.44956815165627,211.11997721010286,42.589634289024104,211.41977110587305,39.88955638363142
Teotihuacan (Avenue of the Dead),2026-09-23,2026-09-22 22:37:00,-56.50687493469968,-58.469995830850706,-48.69057598474308,-7940.0,259.1547134455116,-34.11834091333637,18.679248451895546,-52.564958221519525,198.3451147348113,51.572306137391,211.41233750645966,39.8906544537724
Teotihuacan (Avenue of the Dead),2026-09-24,2026-09-23 22:33:10,-56.043167514703065,-58.46999887470501,-48.791365524562366,-7800.0,258.8335051194579,-33.91437559261131,18.463849004625718,-52.66650776462261,179.68903252057441,58.66246561793443,211.44666283479071,39.87156021216568
Teotihuacan (Avenue of the Dead),2026-09-25,2026-09-24 22:29:10,-55.527279965491076,-58.47002792219659,-48.89398300803528,-7640.0,258.526462483719,-33.69622155507384,18.185870115438536,-52.77924209044462,153.8683320659106,61.95918682466867,211.4385312378729,39.873275741224134
Teotihuacan (Avenue of the Dead),2026-09-26,2026-09-25 22:25:20,-55.02774229320023,-58.470024125192374,-48.99839852229107,-7500.0,258.2518996524078,-33.5417913952835,17.971580775906173,-52.87844574823327,126.48540398706037,59.78546207079969,211.47213138432292,39.85479209303444
Teotihuacan (Avenue of the Dead),2026-11-02,2026-11-01 19:59:50,-28.272656161335174,-58.47160009108864,-53.68777438979908,-2480.0,268.4609891848423,-42.3682609809953,9.521617137799636,-55.8530116727005,24.849058036609794,-49.20858871366137,211.51056085649964,39.856686156768845
Teotihuacan (Avenue of the Dead),2026-11-03,2026-11-02 19:55:50,-27.42008398629522,-58.47165273495212,-53.82452039412258,-2360.0,269.0787362843341,-42.569468207340485,9.305636804491868,-55.90893658720866,7.049322537745995,-57.797081100273054,211.48656238312734,39.87150668653809
Teotihuacan (Avenue of the Dead),2026-11-04,2026-11-03 19:52:00,-26.603267494287255,-58.47167163222785,-53.961091707533576,-2240.0,269.69047964357856,-42.778350029093595,9.164283126131275,-55.957075513962096,341.9196478970184,-62.623023255569294,211.5042100064347,39.86612273410992
Teotihuacan (Avenue of the Dead),2026-11-05,2026-11-04 19:48:00,-25.744532089917996,-58.471724805586476,-54.09743877658043,-2120.0,270.2650348488164,-42.91551446353858,8.954692228933691,-56.010044594750845,313.5610319776919,-61.980254430436005,211.47935918372286,39.88160769119914
Teotihuacan (Avenue of the Dead),2026-11-06,2026-11-05 19:44:00,-24.882952021560456,-58.47177145170534,-54.23349266981949,-2000.0,270.81262736046443,-43.01991276100416,8.74835463765452,-56.06146954811931,290.67437315834303,-56.404894847171654,211.45407320467834,39.89741864748568
Angkor Wat,2026-09-22,2026-09-22 08:16:50,33.89801378144416,62.220660518728586,81.69171930663559,-1290.0,109.32877191626879,-2.360019989525936,78.76315032878013,73.78641130123408,198.95674782757817,-81.63605009989978,193.0895292339597,-79.50652688804625
Angkor Wat,2026-09-23,2026-09-23 08:12:50,32.915414232820424,62.203957696595296,81.79053660253913,-1140.0,109.48559190390488,-2.726986429131716,79.04473606502368,73.597111284361,253.93241903569523,-75.16817187643338,193.11520984789126,-79.50315796805734
Angkor Wat,2026-09-24,2026-09-24 08:08:50,31.932217642614972,62.18725364510279,81.89114736887032,-980.0,109.6370669525318,-3.064706622803189,79.31812782776193,73.40851003263168,270.0899729063077,-64.03154499019195,193.1431004424199,-79.49980312554764
Angkor Wat,2026-09-25,2026-09-25 08:05:00,30.988391833657282,62.21117525043177,81.99365334830121,-840.0,109.79161439315014,-3.3340265609110915,79.56892753851001,73.26058730142995,276.8999329275415,-51.87505376470417,192.96928344052054,-79.50565501934493
Angkor Wat,2026-09-26,2026-09-26 08:01:00,30.003984915740926,62.19447041311386,82.09787780695949,-680.0,109.93084234149123,-3.6104644177353906,79.8276681464507,73.07353965944907,280.83163422013865,-39.12720006255464,193.00174397899698,-79.50235430862804
Angkor Wat,2026-11-02,2026-11-02 19:27:10,-26.961997753221237,-64.75175548434385,-60.027501613759725,-2420.0,263.0372448887363,-41.989965800429935,11.268191026723967,-62.05988578742669,20.951626438283206,-59.145545039516705,214.62137114129897,45.13675231489838
Angkor Wat,2026-11-03,2026-11-03 19:23:20,-26.087878532694003,-64.75177984411266,-60.16418236586228,-2310.0,263.60427337337006,-42.28199210347372,11.100747878373616,-62.11177629663632,356.21549887146466,-66.66712555306158,214.6401274639851,45.13008854542478
