Date,Sun_Alt,Deviation_From_Ideal,Regulus_Alt,Is_Visible,Visibility_Delta_Sec,Moon_Alt,Moon_Illum_%,Venus_Az,Venus_Alt,Mars_Az,Mars_Alt,Jupiter_Az,Jupiter_Alt,Neptune_Az,Neptune_Alt,Saturn_Az,Saturn_Alt,Mercury_Az,Mercury_Alt,Uranus_Az,Uranus_Alt,Pluto_Az,Pluto_Alt,Sirius_Az,Sirius_Alt,Vega_Az,Vega_Alt,Mars_Delta_Sec
2026-09-01,15.7159,22.2159,24.2789,False,N/A,33.0770,82.5288,87.7311,-28.9611,104.6550,70.1248,92.5311,40.5809,265.0206,8.9695,262.4270,18.6788,87.2676,11.6554,248.3814,69.9555,268.9118,-51.1664,157.4203,40.2443,347.0552,-19.6737,4974.0000
2026-09-02,14.7613,21.2613,24.2785,False,N/A,46.9121,73.3590,87.7870,-29.7556,104.0452,69.5289,92.4887,40.3742,265.0230,8.9457,262.4317,18.6225,87.1169,9.8094,248.3731,69.9631,268.9140,-51.1839,157.4197,40.2442,347.0549,-19.6735,4846.0000
2026-09-03,13.8067,20.3067,24.2781,False,N/A,60.9401,62.9052,87.8470,-30.5368,103.4695,68.9325,92.4466,40.1681,265.0254,8.9216,262.4367,18.5650,86.9754,7.9875,248.3657,69.9699,268.9162,-51.2011,157.4191,40.2440,347.0547,-19.6734,4721.0000
2026-09-04,12.8519,19.3519,24.2777,False,N/A,75.1040,51.6739,87.9110,-31.3043,102.9249,68.3356,92.4049,39.9628,265.0278,8.8973,262.4419,18.5063,86.8423,6.1931,248.3591,69.9759,268.9185,-51.2180,157.4185,40.2439,347.0545,-19.6733,4599.0000
2026-09-05,11.9009,18.4009,24.2810,False,N/A,88.0595,40.2473,87.9812,-32.0540,102.4129,67.7421,92.3658,39.7617,265.0324,8.8693,262.4496,18.4430,86.7189,4.4365,248.3591,69.9777,268.9227,-51.2382,157.4229,40.2451,347.0576,-19.6740,4479.0000
2026-09-06,10.9465,17.4465,24.2806,False,N/A,75.8219,29.2538,88.0535,-32.7924,101.9232,67.1449,92.3248,39.5578,265.0350,8.8445,262.4553,18.3821,86.6004,2.7252,248.3542,69.9821,268.9250,-51.2544,157.4223,40.2450,347.0574,-19.6740,4361.0000
2026-09-07,9.9925,16.4925,24.2802,False,N/A,61.3809,19.3259,88.1299,-33.5155,101.4578,66.5479,92.2841,39.3547,265.0376,8.8196,262.4613,18.3202,86.4883,1.0973,248.3502,69.9858,268.9272,-51.2704,157.4217,40.2448,347.0572,-19.6739,4245.0000
2026-09-08,9.0393,15.5393,24.2798,False,N/A,46.9281,11.0483,88.2106,-34.2227,101.0149,65.9511,92.2438,39.1523,265.0402,8.7945,262.4674,18.2572,86.3819,-1.0306,248.3471,69.9886,268.9294,-51.2860,157.4211,40.2447,347.0570,-19.6738,4131.0000
2026-09-09,8.0872,14.5872,24.2794,False,N/A,32.5817,4.8970,88.2954,-34.9131,100.5929,65.3546,92.2038,38.9508,265.0428,8.7692,262.4738,18.1933,86.2809,-2.7562,248.3448,69.9906,268.9316,-51.3013,157.4205,40.2446,347.0568,-19.6737,4020.0000
2026-09-10,7.1369,13.6369,24.2790,False,N/A,18.4439,1.1838,88.3845,-35.5863,100.1903,64.7586,92.1642,38.7501,265.0454,8.7437,262.4804,18.1283,86.1848,-4.4631,248.3434,69.9918,268.9338,-51.3163,157.4199,40.2444,347.0565,-19.6737,3910.0000
