Year,Theory,Status,Deviation,Metric_Value
-13000,Orion,FAIL,4.4500,13.7800
-13000,Leo,FAIL,17.9326,107.9326
-13000,King_Shaft,FAIL,32.2170,12.7830
-13000,Queen_Shaft,FAIL,33.1682,1.8318
-13000,North_Shaft,FAIL,44.8356,-12.3356
-12999,Orion,FAIL,4.4452,13.7752
-12999,Leo,FAIL,18.0058,108.0058
-12999,King_Shaft,FAIL,32.2197,12.7803
-12999,Queen_Shaft,FAIL,33.1708,1.8292
-12999,North_Shaft,FAIL,44.8347,-12.3347
-12998,Orion,FAIL,4.4401,13.7701
-12998,Leo,FAIL,18.0789,108.0789
-12998,King_Shaft,FAIL,32.2226,12.7774
-12998,Queen_Shaft,FAIL,33.1735,1.8265
-12998,North_Shaft,FAIL,44.8334,-12.3334
-12997,Orion,FAIL,4.4384,13.7684
-12997,Leo,FAIL,18.1519,108.1519
-12997,King_Shaft,FAIL,32.2257,12.7743
-12997,Queen_Shaft,FAIL,33.1762,1.8238
-12997,North_Shaft,FAIL,44.8339,-12.3339
-12996,Orion,FAIL,4.4421,13.7721
-12996,Leo,FAIL,18.7207,108.7207
-12996,King_Shaft,FAIL,32.2363,12.7637
-12996,Queen_Shaft,FAIL,33.1755,1.8245
-12996,North_Shaft,FAIL,44.8340,-12.3340
-12995,Orion,FAIL,4.4388,13.7688
-12995,Leo,FAIL,17.5313,107.5313
-12995,King_Shaft,FAIL,32.2393,12.7607
-12995,Queen_Shaft,FAIL,33.1765,1.8235
-12995,North_Shaft,FAIL,44.8323,-12.3323
-12994,Orion,FAIL,4.4356,13.7656
-12994,Leo,FAIL,17.6030,107.6030
-12994,King_Shaft,FAIL,32.2404,12.7596
-12994,Queen_Shaft,FAIL,33.1774,1.8226
-12994,North_Shaft,FAIL,44.8299,-12.3299
-12993,Orion,FAIL,4.4324,13.7624
-12993,Leo,FAIL,17.6747,107.6747
-12993,King_Shaft,FAIL,32.2414,12.7586
-12993,Queen_Shaft,FAIL,33.1781,1.8219
-12993,North_Shaft,FAIL,44.8271,-12.3271
-12992,Orion,FAIL,4.4262,13.7562
-12992,Leo,FAIL,18.2387,108.2387
-12992,King_Shaft,FAIL,32.2398,12.7602
-12992,Queen_Shaft,FAIL,33.1834,1.8166
-12992,North_Shaft,FAIL,44.8297,-12.3297
-12991,Orion,FAIL,4.4254,13.7554
-12991,Leo,FAIL,18.3110,108.3110
-12991,King_Shaft,FAIL,32.2424,12.7576
-12991,Queen_Shaft,FAIL,33.1852,1.8148
-12991,North_Shaft,FAIL,44.8285,-12.3285
-12990,Orion,FAIL,4.4246,13.7546
-12990,Leo,FAIL,18.3834,108.3834
-12990,King_Shaft,FAIL,32.2450,12.7550
-12990,Queen_Shaft,FAIL,33.1849,1.8151
-12990,North_Shaft,FAIL,44.8270,-12.3270
-12989,Orion,FAIL,4.4237,13.7537
-12989,Leo,FAIL,18.4560,108.4560
-12989,King_Shaft,FAIL,32.2477,12.7523
-12989,Queen_Shaft,FAIL,33.1839,1.8161
-12989,North_Shaft,FAIL,44.8252,-12.3252
-12988,Orion,FAIL,4.4212,13.7512
-12988,Leo,FAIL,17.7595,107.7595
-12988,King_Shaft,FAIL,32.2497,12.7503
-12988,Queen_Shaft,FAIL,33.1801,1.8199
-12988,North_Shaft,FAIL,44.8162,-12.3162
-12987,Orion,FAIL,4.4183,13.7483
-12987,Leo,FAIL,17.8317,107.8317
-12987,King_Shaft,FAIL,32.2504,12.7496
-12987,Queen_Shaft,FAIL,33.1808,1.8192
-12987,North_Shaft,FAIL,44.8151,-12.3151
-12986,Orion,FAIL,4.4151,13.7451
-12986,Leo,FAIL,17.9041,107.9041
-12986,King_Shaft,FAIL,32.2515,12.7485
-12986,Queen_Shaft,FAIL,33.1818,1.8182
-12986,North_Shaft,FAIL,44.8156,-12.3156
-12985,Orion,FAIL,4.4115,13.7415
-12985,Leo,FAIL,17.9769,107.9769
-12985,King_Shaft,FAIL,32.2529,12.7471
-12985,Queen_Shaft,FAIL,33.1832,1.8168
