Year,Equinox_Dawn_UTC,Orion_Max_Alt,Regulus_Az_at_Dawn,Regulus_Deviation_from_East
-13000,-13000-03-24 09:53:00,13.78,128.86,38.86
-12990,-12990-03-24 09:37:00,13.75,128.43,38.43
-12980,-12980-03-23 09:21:00,13.73,128.01,38.01
-12970,-12970-03-24 09:05:00,13.7,128.31,38.31
-12960,-12960-03-23 08:49:00,13.68,127.88,37.88
-12950,-12950-03-24 08:33:00,13.66,128.18,38.18
-12940,-12940-03-23 08:17:00,13.63,127.75,37.75
-12930,-12930-03-24 08:01:00,13.61,128.05,38.05
-12920,-12920-03-23 07:45:00,13.58,127.61,37.61
-12910,-12910-03-23 07:30:00,13.56,127.36,37.36
-12900,-12900-03-24 07:13:00,13.53,127.46,37.46
-12890,-12890-03-24 06:57:00,13.51,127.03,37.03
-12880,-12880-03-24 06:41:00,13.48,127.31,37.31
-12870,-12870-03-24 06:25:00,13.46,126.87,36.87
-12860,-12860-03-24 06:09:00,13.43,127.14,37.14
-12850,-12850-03-24 05:53:00,13.41,126.7,36.7
-12840,-12840-03-23 05:38:00,13.38,126.44,36.44
-12830,-12830-03-24 05:22:00,13.36,126.71,36.71
-12820,-12820-03-23 05:06:00,13.34,126.26,36.26
-12810,-12810-03-24 04:50:00,13.31,126.53,36.53
-12800,-12800-03-23 04:34:00,13.29,126.07,36.07
-12790,-12790-03-24 04:18:00,13.26,126.34,36.34
-12780,-12780-03-23 04:02:00,13.24,125.88,35.88
-12770,-12770-03-23 03:47:00,13.22,125.61,35.61
-12760,-12760-03-23 03:31:00,13.2,125.86,35.86
-12750,-12750-03-23 03:15:00,13.17,125.4,35.4
-12740,-12740-03-23 02:59:00,13.15,125.65,35.65
-12730,-12730-03-23 02:44:00,13.12,125.37,35.37
-12720,-12720-03-23 02:26:59,13.1,125.44,35.44
-12710,-12710-03-23 02:12:00,13.08,125.15,35.15
-12700,-12700-03-23 01:57:00,13.05,124.87,34.87
-12690,-12690-03-24 01:39:59,13.03,124.92,34.92
-12680,-12680-03-23 01:25:00,13.01,124.64,34.64
-12670,-12670-03-24 01:09:00,12.99,124.87,34.87
-12660,-12660-03-23 00:54:00,12.96,124.58,34.58
-12650,-12650-03-24 00:37:00,12.94,124.62,34.62
-12640,-12640-03-23 00:22:00,12.91,124.33,34.33
-12630,-12630-03-23 00:07:00,12.9,124.04,34.04
-12620,-12620-03-23 23:50:00,12.87,124.77,34.77
-12610,-12610-03-23 23:34:00,12.85,124.3,34.3
-12600,-12600-03-24 23:18:00,12.82,124.51,34.51
