Date,Sun_Alt,Deviation_From_Ideal,Regulus_Alt,Is_Visible,Visibility_Delta_Sec,Moon_Alt,Moon_Illum_%,Venus_Az,Venus_Alt,Mars_Az,Mars_Alt,Jupiter_Az,Jupiter_Alt,Mars_Delta_Sec
2020-10-01,-13.5828,7.0828,24.5228,False,N/A,3.9633,99.2842,90.6203,26.6198,259.4848,29.5341,281.6643,-66.0219,-53400.0000
2020-10-02,-13.7071,7.2071,25.3752,False,N/A,14.8726,99.7786,90.8861,26.3285,260.1646,28.4309,282.5252,-66.8003,-52800.0000
2020-10-03,-13.8316,7.3316,26.2276,False,N/A,25.8484,98.4854,91.1569,26.0344,260.8366,27.3184,283.4277,-67.5731,-52800.0000
2020-10-04,-16.1170,9.6170,24.9118,False,N/A,38.8827,95.4981,90.1676,23.5777,260.0688,28.3402,281.9426,-66.2258,-52800.0000
2020-10-05,-16.2430,9.7430,25.7642,False,N/A,49.8484,90.8792,90.4435,23.2784,260.7473,27.2153,282.8103,-66.9947,-52800.0000
2020-10-06,-18.5286,12.0286,24.4484,False,N/A,62.8059,84.8266,89.4714,20.8173,259.9846,28.2255,281.3725,-65.6387,-52800.0000
2020-10-07,-18.6562,12.1562,25.3008,False,N/A,73.5481,77.4173,89.7521,20.5130,260.6686,27.0909,282.2075,-66.4037,-52200.0000
2020-10-08,-18.7840,12.2840,26.1532,False,N/A,82.6793,68.8776,90.0371,20.2063,261.3441,25.9506,283.0812,-67.1633,-52200.0000
2020-10-09,-21.0710,14.5710,24.8374,False,N/A,78.0695,59.4984,89.0789,17.7394,260.5991,26.9511,281.6186,-65.8002,-52200.0000
2020-10-10,-21.2004,14.7004,25.6898,False,N/A,67.1134,49.4177,89.3683,17.4281,261.2785,25.8056,282.4586,-66.5561,-52200.0000
2020-10-11,-23.4874,16.9874,24.3740,False,N/A,53.0158,39.1109,88.4208,14.9589,260.5368,26.8021,281.0433,-65.1846,-52200.0000
2020-10-12,-23.6185,17.1185,25.2264,False,N/A,40.4477,28.8636,88.7144,14.6434,261.2192,25.6545,281.8516,-65.9366,-52200.0000
2020-10-13,-23.7498,17.2498,26.0787,False,N/A,27.3804,19.2858,89.0117,14.3257,261.8926,24.5053,282.6957,-66.6836,-51600.0000
